name;host_name;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;calculated_host_listings_count;availability_365;min_income;area
Unit in relaxing garden setting near new skytrain,Rae And Charlie,Bang Sue,13.82955,100.52119,Entire home/apt,1000.0,3.0,0.0,7.0,146.0,3000.0,North Bangkok;;;;;;;;;;;;
BKK PARAGON/Pratunam 5mins BTS 2nd fl.,Pemigar,Ratchathewi,13.74978,100.53301,Entire home/apt,1009.0,3.0,113.0,5.0,57.0,3027.0,Central Bangkok;;;;;;;;;;;;
Cozy Apt @ Ratchayothin BTS Great Facility,Nokina,Chatu Chak,13.83028,100.57065,Entire home/apt,866.0,4.0,9.0,2.0,0.0,3464.0,North Bangkok;;;;;;;;;;;;
Spare room in a gated compound,Annie,Bang Na,13.65979,100.60643,Private room,700.0,1.0,4.0,1.0,365.0,700.0,South Bangkok;;;;;;;;;;;;
❂City center☾Train station☽Private Bathroom8Aircon,Evan,Sathon,13.72074,100.54712,Entire home/apt,800.0,1.0,192.0,37.0,346.0,800.0,South Bangkok;;;;;;;;;;;;
✭✭✭✭Cozy Hideawy in BKK Center near MRT Lumpini✭✭✭,Evan,Sathon,13.72062,100.54707,Entire home/apt,609.0,1.0,156.0,37.0,312.0,609.0,South Bangkok;;;;;;;;;;;;
2-room apartment@heart of BKK,Jirapha,Parthum Wan,13.74381,100.54792,Entire home/apt,2250.0,7.0,92.0,1.0,70.0,15750.0,Central Bangkok;;;;;;;;;;;;
Cozy Studio Sleep3 at Phattanakan 26,GrongGaew,Suanluang,13.73693,100.61644,Private room,1004.0,2.0,0.0,4.0,365.0,2008.0,South Bangkok;;;;;;;;;;;;
1 BR on Srinakrin Rd. Parkland,Dujdao,Bang Na,13.65441,100.64548,Private room,797.0,1.0,0.0,1.0,362.0,797.0,South Bangkok;;;;;;;;;;;;
Close to river and near city. Free pick up,Hataipat,Khlong San,13.71672,100.5092,Entire home/apt,1286.0,5.0,75.0,5.0,0.0,6430.0,West Bangkok;;;;;;;;;;;;
Cozy 7th,Kia,Chatu Chak,13.79616,100.56478,Private room,1636.0,2.0,0.0,1.0,179.0,3272.0,North Bangkok;;;;;;;;;;;;
Modern Condo 2 mins walk to Sukhumvit BTS Skytrain,Kiattisak,Phra Khanong,13.69784,100.60635,Entire home/apt,999.0,5.0,103.0,53.0,336.0,4995.0,South Bangkok;;;;;;;;;;;;
1BR Cosy & Perfect Location @Asoke BTS/MRT,Jocelyn,Khlong Toei,13.73606,100.55934,Entire home/apt,1845.0,3.0,129.0,1.0,336.0,5535.0,Central Bangkok;;;;;;;;;;;;
Newly Renovated 3BR Suite 146sqm BTS Thonglo,Nisa,Vadhana,13.73958,100.5865,Entire home/apt,4720.0,2.0,252.0,2.0,347.0,9440.0,Central Bangkok;;;;;;;;;;;;
Quiet&Cozy Place on Thong Lor Street,Warin,Vadhana,13.73862,100.585,Private room,1049.0,3.0,1.0,1.0,365.0,3147.0,Central Bangkok;;;;;;;;;;;;
One bedroom suite with kitchen@ center of Bangkok,Attakorn,Parthum Wan,13.74551,100.54235,Entire home/apt,3500.0,5.0,1.0,1.0,0.0,17500.0,Central Bangkok;;;;;;;;;;;;
LumpiniVille Prachachuen-Phongphet2,Kirawut,Vadhana,13.7214,100.58484,Private room,1758.0,1.0,0.0,1.0,365.0,1758.0,Central Bangkok;;;;;;;;;;;;
quiet relaxing country life in BKK,Nitchakun,Saphan Sung,13.76276,100.69127,Entire home/apt,1000.0,1.0,0.0,1.0,365.0,1000.0,East Bangkok;;;;;;;;;;;;
3BR 300 SqM Apt near BTS PhromPhong,Sanjay,Khlong Toei,13.72468,100.56838,Private room,3000.0,1.0,0.0,1.0,365.0,3000.0,Central Bangkok;;;;;;;;;;;;
City view Studio surrounding by street food,Nicky,Bang Kho laen,13.69945,100.52725,Entire home/apt,950.0,2.0,7.0,6.0,86.0,1900.0,South Bangkok;;;;;;;;;;;;
Rachapruk Twin Standard Room,Tienchai,Min Buri,13.78115,100.7482,Private room,1620.0,1.0,0.0,2.0,365.0,1620.0,East Bangkok;;;;;;;;;;;;
New Model Studio 24,Yair,Suanluang,13.72219,100.6145,Entire home/apt,1004.0,10.0,2.0,10.0,365.0,10040.0,South Bangkok;;;;;;;;;;;;
New Model Studio 24 - Sukhumvit 77,Yair,Suanluang,13.71916,100.63024,Entire home/apt,1004.0,10.0,9.0,10.0,365.0,10040.0,South Bangkok;;;;;;;;;;;;
